,No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,sum,count,ave
7173,7174,2010,10,26,21,3,,,,-9,63.2,1035,-3,SW,1,0,0,0,0,
7174,7175,2010,10,26,22,3,,,,,,,,,,0,0,0,0,
7175,7176,2010,10,26,23,3,,,,-8,73.65,1034,-4,cv,0,0,0,0,0,
7176,7177,2010,10,27,0,3,,,,-9,73.45,1034,-5,SE,3,0,0,0,0,
7177,7178,2010,10,27,1,3,,,,-9,73.45,1034,-5,SE,6,0,0,0,0,
7178,7179,2010,10,27,2,3,,,,,,,,,,0,0,0,0,
7179,7180,2010,10,27,3,3,,,,-9,79.26,1034,-6,SW,2,0,0,0,0,
7180,7181,2010,10,27,4,3,,,,-9,73.45,1033,-5,SE,2,0,0,0,0,
7181,7182,2010,10,27,5,3,,,,-9,73.45,1033,-5,SE,5,0,0,0,0,
7182,7183,2010,10,27,6,3,,,,-9,68.11,1032,-4,SE,10,0,0,0,0,
7183,7184,2010,10,27,7,3,,,,-9,63.2,1032,-3,SE,14,0,0,0,0,
7184,7185,2010,10,27,8,3,,,,-8,63.45,1032,-2,SE,18,0,0,0,0,
7185,7186,2010,10,27,9,3,,,,,,,,,,0,0,0,0,
7186,7187,2010,10,27,10,3,,,,-12,30,1030,4,SE,4,0,0,0,0,
7187,7188,2010,10,27,11,3,,,,-13,24.06,1030,6,SW,5,0,0,0,0,
7188,7189,2010,10,27,12,3,,,,-11,26.39,1028,7,SW,10,0,0,0,0,
7189,7190,2010,10,27,13,3,,,,-12,22.75,1027,8,SW,14,0,0,0,0,
7190,7191,2010,10,27,14,3,,,,-7,31.53,1026,9,SW,21,0,0,0,0,
7191,7192,2010,10,27,15,3,,,,-6,34.05,1026,9,SW,28,0,0,0,0,
7192,7193,2010,10,27,16,3,,,,-3,48.93,1026,7,SW,35,0,0,0,0,
7193,7194,2010,10,27,17,3,,,,-3,56.18,1026,5,SW,40,0,0,0,0,
7194,7195,2010,10,27,18,3,,,,-3,60.25,1026,4,SW,43,0,0,0,0,
7195,7196,2010,10,27,19,3,,,,-4,64.42,1026,2,SW,47,0,0,0,0,
7196,7197,2010,10,27,20,3,,,,-4,64.42,1026,2,SW,50,0,0,0,0,
7197,7198,2010,10,27,21,3,,,,-4,69.21,1026,1,SW,54,0,0,0,0,
7198,7199,2010,10,27,22,3,,,,-5,64.18,1026,1,SW,58,0,0,0,0,
7199,7200,2010,10,27,23,3,,,,-5,64.18,1025,1,SW,62,0,0,0,0,
7200,7201,2010,10,28,0,3,,,,-5,64.18,1025,1,SW,66,0,0,0,0,
7201,7202,2010,10,28,1,3,,,,-4,64.42,1025,2,SW,70,0,0,0,0,
7202,7203,2010,10,28,2,3,,,,-4,69.21,1025,1,SE,4,0,0,0,0,
7203,7204,2010,10,28,3,3,,,,-5,64.18,1025,1,SW,3,0,0,0,0,
7204,7205,2010,10,28,4,3,,,,,,,,,,0,0,0,0,
7205,7206,2010,10,28,5,3,,,,-4,80.04,1025,-1,cv,1,0,0,0,0,
7206,7207,2010,10,28,6,3,,,,,,,,,,0,0,0,0,
7207,7208,2010,10,28,7,3,,,,-5,86.04,1026,-3,cv,1,0,0,0,0,
7208,7209,2010,10,28,8,3,,,,-2,92.91,1026,-1,cv,2,0,0,0,0,
7209,7210,2010,10,28,9,3,,,,-2,56.45,1027,6,SW,4,0,0,0,0,
7210,7211,2010,10,28,10,3,,,,-4,42.4,1027,8,SW,6,0,0,0,0,
7211,7212,2010,10,28,11,3,,,,-5,36.74,1027,9,SW,9,0,0,0,0,
7212,7213,2010,10,28,12,3,,,,-5,32.14,1026,11,SW,13,0,0,0,0,
7213,7214,2010,10,28,13,3,,,,-5,30.09,1025,12,SW,15,0,0,0,0,
7214,7215,2010,10,28,14,3,,,,-5,30.09,1025,12,SW,18,0,0,0,0,
7215,7216,2010,10,28,15,3,,,,-5,30.09,1025,12,SW,21,0,0,0,0,
7216,7217,2010,10,28,16,3,,,,-5,32.14,1025,11,SW,25,0,0,0,0,
7217,7218,2010,10,28,17,3,,,,,,,,,,0,0,0,0,
7218,7219,2010,10,28,18,3,,,,-3,60.25,1025,4,cv,1,0,0,0,0,
7219,7220,2010,10,28,19,3,,,,-3,56.18,1025,5,SE,2,0,0,0,0,
7220,7221,2010,10,28,20,3,,,,-2,69.64,1026,3,SE,5,0,0,0,0,
7221,7222,2010,10,28,21,3,,,,-2,74.78,1026,2,SW,2,0,0,0,0,
7222,7223,2010,10,28,22,3,,,,-3,64.66,1026,3,SW,6,0,0,0,0,
7223,7224,2010,10,28,23,3,,,,-3,64.66,1026,3,SW,10,0,0,0,0,
7224,7225,2010,10,29,0,3,,,,-3,69.43,1026,2,SW,13,0,0,0,0,
7225,7226,2010,10,29,1,3,,,,-3,64.66,1026,3,SE,5,0,0,0,0,
7226,7227,2010,10,29,2,3,,,,-4,55.91,1025,4,SE,10,0,0,0,0,
7227,7228,2010,10,29,3,3,,,,-4,55.91,1025,4,SE,15,0,0,0,0,
7228,7229,2010,10,29,4,3,,,,-3,64.66,1025,3,SE,19,0,0,0,0,
7229,7230,2010,10,29,5,3,,,,-3,60.25,1025,4,SE,23,0,0,0,0,
7230,7231,2010,10,29,6,3,,,,-2,80.34,1025,1,SE,26,0,0,0,0,
7231,7232,2010,10,29,7,3,,,,-2,86.37,1026,0,SE,30,0,0,0,0,
7232,7233,2010,10,29,8,3,,,,0,61.01,1026,7,SE,33,0,0,0,0,
7233,7234,2010,10,29,9,3,,,,1,53.53,1026,10,SW,3,0,0,0,0,
7234,7235,2010,10,29,10,3,,,,3,50.65,1026,13,SW,9,0,0,0,0,
7235,7236,2010,10,29,11,3,,,,3,47.46,1026,14,SW,15,0,0,0,0,
7236,7237,2010,10,29,12,3,,,,1,36.17,1025,16,SW,20,0,0,0,0,
7237,7238,2010,10,29,13,3,,,,0,33.65,1025,16,SW,26,0,0,0,0,
7238,7239,2010,10,29,14,3,,,,-1,31.28,1025,16,SW,31,0,0,0,0,
7239,7240,2010,10,29,15,3,,,,-2,29.06,1025,16,SW,37,0,0,0,0,
7240,7241,2010,10,29,16,3,,,,-1,31.28,1025,16,SW,43,0,0,0,0,
7241,7242,2010,10,29,17,3,,,,-1,43.31,1025,11,SW,47,0,0,0,0,
7242,7243,2010,10,29,18,3,,,,-1,49.51,1025,9,SW,49,0,0,0,0,
7243,7244,2010,10,29,19,3,,,,0,65.36,1026,6,SW,51,0,0,0,0,
7244,7245,2010,10,29,20,3,,,,0,61.01,1026,7,SW,54,0,0,0,0,
7245,7246,2010,10,29,21,3,,,,-1,56.72,1026,7,SW,57,0,0,0,0,
7246,7247,2010,10,29,22,3,,,,-1,60.76,1027,6,SW,60,0,0,0,0,
7247,7248,2010,10,29,23,3,,,,-1,69.85,1026,4,SE,3,0,0,0,0,
7248,7249,2010,10,30,0,3,,,,,,,,,,0,0,0,0,
7249,7250,2010,10,30,1,3,,,,-2,64.9,1027,4,SE,4,0,0,0,0,
7250,7251,2010,10,30,2,3,,,,-2,80.34,1027,1,SE,6,0,0,0,0,
7251,7252,2010,10,30,3,3,,,,-1,69.85,1026,4,SE,10,0,0,0,0,
7252,7253,2010,10,30,4,3,,,,0,70.06,1026,5,cv,1,0,0,0,0,
7253,7254,2010,10,30,5,3,,,,-1,74.96,1026,3,cv,2,0,0,0,0,
7254,7255,2010,10,30,6,3,,,,0,75.14,1027,4,SE,3,0,0,0,0,
7255,7256,2010,10,30,7,3,,,,0,75.14,1027,4,cv,1,0,0,0,0,
7256,7257,2010,10,30,8,3,,,,1,75.32,1027,5,cv,2,0,0,0,0,
7257,7258,2010,10,30,9,3,,,,2,61.51,1027,9,SE,2,0,0,0,0,
7258,7259,2010,10,30,10,3,,,,1,41.14,1027,14,SW,2,0,0,0,0,
7259,7260,2010,10,30,11,3,,,,1,38.56,1027,15,SW,4,0,0,0,0,
7260,7261,2010,10,30,12,3,,,,-3,25.32,1026,17,SW,8,0,0,0,0,
7261,7262,2010,10,30,13,3,,,,-3,25.32,1026,17,SW,11,0,0,0,0,
7262,7263,2010,10,30,14,3,,,,-3,25.32,1025,17,SW,14,0,0,0,0,
7263,7264,2010,10,30,15,3,,,,-3,25.32,1025,17,SW,17,0,0,0,0,
7264,7265,2010,10,30,16,3,,,,-2,29.06,1025,16,SW,20,0,0,0,0,
7265,7266,2010,10,30,17,3,,,,0,40.84,1025,13,cv,1,0,0,0,0,
7266,7267,2010,10,30,18,3,,,,0,56.99,1025,8,cv,1,0,0,0,0,
7267,7268,2010,10,30,19,3,,,,0,61.01,1025,7,cv,2,0,0,0,0,
7268,7269,2010,10,30,20,3,,,,,,,,,,0,0,0,0,
7269,7270,2010,10,30,21,3,,,,0,61.01,1025,7,SE,4,0,0,0,0,
7270,7271,2010,10,30,22,3,,,,-1,65.13,1026,5,SE,8,0,0,0,0,
7271,7272,2010,10,30,23,3,,,,-1,65.13,1025,5,SE,12,0,0,0,0,
7272,7273,2010,10,31,0,3,,,,-1,80.49,1025,2,SE,13,0,0,0,0,
7273,7274,2010,10,31,1,3,,,,-1,86.47,1025,1,cv,1,0,0,0,0,
7274,7275,2010,10,31,2,3,,,,-2,80.34,1025,1,cv,2,0,0,0,0,
7275,7276,2010,10,31,3,3,,,,-1,86.47,1025,1,SE,1,0,0,0,0,
7276,7277,2010,10,31,4,3,,,,-2,80.34,1025,1,cv,1,0,0,0,0,
7277,7278,2010,10,31,5,3,,,,0,80.63,1024,3,SE,4,0,0,0,0,
7278,7279,2010,10,31,6,3,,,,0,75.14,1024,4,SE,9,0,0,0,0,
7279,7280,2010,10,31,7,3,,,,0,75.14,1024,4,SE,13,0,0,0,0,
7280,7281,2010,10,31,8,3,,,,2,70.47,1024,7,SE,17,0,0,0,0,
7281,7282,2010,10,31,9,3,,,,2,61.51,1024,9,SE,21,0,0,0,0,
7282,7283,2010,10,31,10,3,,,,3,50.65,1024,13,SW,2,0,0,0,0,
7283,7284,2010,10,31,11,3,,,,4,47.74,1023,15,SW,7,0,0,0,0,
7284,7285,2010,10,31,12,3,,,,4,47.74,1023,15,SW,12,0,0,0,0,
7285,7286,2010,10,31,13,3,,,,,,,,,,0,0,0,0,
7286,7287,2010,10,31,14,3,,,,3,41.73,1022,16,SW,6,0,0,0,0,
7287,7288,2010,10,31,15,3,,,,3,44.49,1022,15,SW,11,0,0,0,0,
7288,7289,2010,10,31,16,3,,,,3,47.46,1022,14,SW,15,0,0,0,0,
7289,7290,2010,10,31,17,3,,,,3,54.08,1022,12,SW,18,0,0,0,0,
7290,7291,2010,10,31,18,3,,,,2,61.51,1022,9,SW,20,0,0,0,0,
7291,7292,2010,10,31,19,3,,,,3,70.67,1022,8,SW,22,0,0,0,0,
7292,7293,2010,10,31,20,3,,,,,,,,,,,,0,0,
7293,7294,2010,10,31,21,3,,,,,,,,,,,,0,0,
7294,7295,2010,10,31,22,3,,,,1,86.68,1023,3,cv,1,,,0,0,
7295,7296,2010,10,31,23,3,,,,,,,,,,,,0,0,
7296,7297,2010,11,1,0,3,,,,0,93.02,1023,1,cv,1,,,0,0,
7297,7298,2010,11,1,1,3,,,,-1,65.13,1024,5,NE,3,,,0,0,
7298,7299,2010,11,1,2,3,,,,-3,60.25,1024,4,NE,6,,,0,0,
7299,7300,2010,11,1,3,3,,,,-4,60,1024,3,cv,1,,,0,0,
7300,7301,2010,11,1,4,3,,,,-5,55.63,1024,3,NW,3,,,0,0,
7301,7302,2010,11,1,5,3,,,,-5,69,1025,0,NW,5,,,0,0,
7302,7303,2010,11,1,6,3,,,,-6,59.48,1026,1,NW,9,,,0,0,
7303,7304,2010,11,1,7,3,,,,-6,51.56,1026,3,NE,4,,,0,0,
7304,7305,2010,11,1,8,3,,,,-7,44.49,1027,4,NW,7,,,0,0,
7305,7306,2010,11,1,9,3,,,,-7,41.48,1028,5,NE,7,,,0,0,
7306,7307,2010,11,1,10,3,,,,-7,38.7,1028,6,NE,14,,,0,0,
7307,7308,2010,11,1,11,3,,,,-9,30.92,1028,7,NW,6,,,0,0,
7308,7309,2010,11,1,12,3,,,,-9,28.88,1027,8,NW,12,,,0,0,
7309,7310,2010,11,1,13,3,,,,-10,28.58,1027,7,NW,18,,,0,0,
7310,7311,2010,11,1,14,3,,,,-10,28.58,1027,7,NW,25,,,0,0,
7311,7312,2010,11,1,15,3,,,,-11,28.27,1027,6,NW,31,,,0,0,
7312,7313,2010,11,1,16,3,,,,-12,26.09,1027,6,NW,38,,,0,0,
7313,7314,2010,11,1,17,3,,,,-13,27.66,1027,4,NW,43,,,0,0,
7314,7315,2010,11,1,18,3,,,,-13,29.69,1028,3,NW,48,,,0,0,
7315,7316,2010,11,1,19,3,,,,-13,29.69,1028,3,NW,51,,,0,0,
7316,7317,2010,11,1,20,3,,,,-12,37.13,1028,1,NE,2,,,0,0,
7317,7318,2010,11,1,21,3,,,,,,,,,,,,0,0,
7318,7319,2010,11,1,22,3,,,,-11,46.53,1028,-1,NE,1,,,0,0,
7319,7320,2010,11,1,23,3,,,,-11,43.26,1028,0,NE,2,,,0,0,
7320,7321,2010,11,2,0,3,,,,,,,,,,,,0,0,
7321,7322,2010,11,2,1,3,,,,-10,62.95,1028,-4,cv,1,,,0,0,
7322,7323,2010,11,2,2,3,,,,-9,68.11,1028,-4,NW,2,,,0,0,
7323,7324,2010,11,2,3,3,,,,-9,68.11,1028,-4,cv,1,,,0,0,
7324,7325,2010,11,2,4,3,,,,-9,79.26,1028,-6,cv,1,,,0,0,
7325,7326,2010,11,2,5,3,,,,-9,79.26,1027,-6,cv,2,,,0,0,
7326,7327,2010,11,2,6,3,,,,-9,85.59,1028,-7,cv,2,,,0,0,
7327,7328,2010,11,2,7,3,,,,-8,85.7,1028,-6,SW,2,,,0,0,
7328,7329,2010,11,2,8,3,,,,,,,,,,,,0,0,
7329,7330,2010,11,2,9,3,,,,-7,59.21,1028,0,SW,2,,,0,0,
7330,7331,2010,11,2,10,3,,,,-9,47.14,1028,1,SW,4,,,0,0,
7331,7332,2010,11,2,11,3,,,,-12,32.19,1028,3,SW,6,,,0,0,
7332,7333,2010,11,2,12,3,,,,-15,23.48,1027,4,SW,9,,,0,0,
7333,7334,2010,11,2,13,3,,,,-14,25.49,1026,4,SW,12,,,0,0,
7334,7335,2010,11,2,14,3,,,,-13,25.79,1025,5,SW,16,,,0,0,
7335,7336,2010,11,2,15,3,,,,-13,25.79,1025,5,SW,19,,,0,0,
7336,7337,2010,11,2,16,3,,,,-13,27.66,1024,4,SW,22,,,0,0,
7337,7338,2010,11,2,17,3,,,,-12,34.56,1024,2,SW,25,,,0,0,
7338,7339,2010,11,2,18,3,,,,-11,43.26,1024,0,SW,28,,,0,0,
7339,7340,2010,11,2,19,3,,,,-9,50.68,1023,0,SW,31,,,0,0,
7340,7341,2010,11,2,20,3,,,,-9,50.68,1023,0,SE,3,,,0,0,
7341,7342,2010,11,2,21,3,,,,-8,63.45,1023,-2,SW,3,,,0,0,
7342,7343,2010,11,2,22,3,,,,-8,63.45,1023,-2,SW,7,,,0,0,
7343,7344,2010,11,2,23,3,,,,-9,54.51,1022,-1,SE,4,,,0,0,
7344,7345,2010,11,3,0,3,,,,-9,54.51,1021,-1,SE,9,,,0,0,
7345,7346,2010,11,3,1,3,,,,-10,46.84,1020,0,SE,14,,,0,0,
7346,7347,2010,11,3,2,3,,,,-9,47.14,1020,1,SE,19,,,0,0,
7347,7348,2010,11,3,3,3,,,,-8,50.97,1019,1,SE,24,,,0,0,
7348,7349,2010,11,3,4,3,,,,-5,55.63,1018,3,SE,29,,,0,0,
7349,7350,2010,11,3,5,3,,,,-5,55.63,1018,3,SE,33,,,0,0,
7350,7351,2010,11,3,6,3,,,,-5,55.63,1018,3,SE,37,,,0,0,
7351,7352,2010,11,3,7,3,,,,-5,59.74,1019,2,SW,3,,,0,0,
7352,7353,2010,11,3,8,3,,,,-3,56.18,1019,5,SW,5,,,0,0,
7353,7354,2010,11,3,9,3,,,,,,,,,,,,0,0,
7354,7355,2010,11,3,10,3,,,,-1,46.29,1020,10,SW,5,,,0,0,
7355,7356,2010,11,3,11,3,,,,-3,34.97,1020,12,SW,10,,,0,0,
7356,7357,2010,11,3,12,3,,,,-6,26.11,1019,13,SW,14,,,0,0,
7357,7358,2010,11,3,13,3,,,,-7,22.66,1019,14,SW,18,,,0,0,
7358,7359,2010,11,3,14,3,,,,-7,22.66,1018,14,SW,22,,,0,0,
7359,7360,2010,11,3,15,3,,,,-6,24.47,1019,14,SW,26,,,0,0,
7360,7361,2010,11,3,16,3,,,,-6,27.88,1019,12,SW,30,,,0,0,
7361,7362,2010,11,3,17,3,,,,-6,34.05,1020,9,NW,4,,,0,0,
7362,7363,2010,11,3,18,3,,,,-6,39.01,1021,7,NW,6,,,0,0,
7363,7364,2010,11,3,19,3,,,,-7,33.74,1021,8,cv,1,,,0,0,
7364,7365,2010,11,3,20,3,,,,-5,59.74,1022,2,SW,2,,,0,0,
7365,7366,2010,11,3,21,3,,,,-5,59.74,1022,2,cv,1,,,0,0,
7366,7367,2010,11,3,22,3,,,,-5,69,1022,0,SW,1,,,0,0,
7367,7368,2010,11,3,23,3,,,,-4,74.41,1023,0,cv,1,,,0,0,
7368,7369,2010,11,4,0,3,,,,-3,86.26,1022,-1,SW,1,,,0,0,
7369,7370,2010,11,4,1,3,,,,-4,80.04,1022,-1,cv,1,,,0,0,
7370,7371,2010,11,4,2,3,,,,-5,79.89,1022,-2,cv,1,,,0,0,
7371,7372,2010,11,4,3,3,,,,-4,86.15,1022,-2,cv,2,,,0,0,
7372,7373,2010,11,4,4,3,,,,-5,86.04,1022,-3,SW,1,,,0,0,
7373,7374,2010,11,4,5,3,,,,-5,79.89,1022,-2,cv,1,,,0,0,
7374,7375,2010,11,4,6,3,,,,-4,86.15,1022,-2,SE,2,,,0,0,
7375,7376,2010,11,4,7,3,,,,-4,74.41,1022,0,SE,3,,,0,0,
7376,7377,2010,11,4,8,3,,,,-2,69.64,1023,3,SE,5,,,0,0,
7377,7378,2010,11,4,9,3,,,,-3,48.93,1023,7,cv,1,,,0,0,
7378,7379,2010,11,4,10,3,,,,-4,37.05,1022,10,SW,2,,,0,0,
7379,7380,2010,11,4,11,3,,,,-5,30.09,1022,12,SW,7,,,0,0,
7380,7381,2010,11,4,12,3,,,,-6,26.11,1021,13,SW,12,,,0,0,
7381,7382,2010,11,4,13,3,,,,-6,24.47,1021,14,SW,17,,,0,0,
7382,7383,2010,11,4,14,3,,,,-6,24.47,1020,14,SW,21,,,0,0,
7383,7384,2010,11,4,15,3,,,,-5,26.4,1020,14,SW,26,,,0,0,
7384,7385,2010,11,4,16,3,,,,-5,30.09,1020,12,SW,29,,,0,0,
7385,7386,2010,11,4,17,3,,,,-4,37.05,1020,10,SW,31,,,0,0,
7386,7387,2010,11,4,18,3,,,,-3,52.41,1020,6,cv,1,,,0,0,
7387,7388,2010,11,4,19,3,,,,-3,52.41,1021,6,SW,2,,,0,0,
7388,7389,2010,11,4,20,3,,,,-2,52.7,1021,7,SW,5,,,0,0,
7389,7390,2010,11,4,21,3,,,,-2,60.51,1021,5,SW,8,,,0,0,
7390,7391,2010,11,4,22,3,,,,-2,80.34,1021,1,cv,0,,,0,0,
7391,7392,2010,11,4,23,3,,,,-3,80.19,1021,0,cv,0,,,0,0,
7392,7393,2010,11,5,0,3,,,,-3,86.26,1021,-1,SE,2,,,0,0,
7393,7394,2010,11,5,1,3,,,,,,,,,,,,0,0,
7394,7395,2010,11,5,2,3,,,,-3,80.19,1020,0,SE,3,,,0,0,
7395,7396,2010,11,5,3,3,,,,-3,86.26,1020,-1,SW,2,,,0,0,
7396,7397,2010,11,5,4,3,,,,-3,74.59,1020,1,SW,5,,,0,0,
7397,7398,2010,11,5,5,3,,,,-4,86.15,1020,-2,SW,7,,,0,0,
7398,7399,2010,11,5,6,3,,,,-3,92.85,1020,-2,SE,2,,,0,0,
7399,7400,2010,11,5,7,3,,,,-1,80.49,1020,2,SW,3,,,0,0,
7400,7401,2010,11,5,8,3,,,,0,75.14,1020,4,SW,5,,,0,0,
7401,7402,2010,11,5,9,3,,,,2,70.47,1020,7,SW,8,,,0,0,
7402,7403,2010,11,5,10,3,,,,2,61.51,1020,9,SW,11,,,0,0,
7403,7404,2010,11,5,11,3,,,,4,58.03,1019,12,SW,17,,,0,0,
7404,7405,2010,11,5,12,3,,,,7,66.93,1018,13,SW,23,,,0,0,
7405,7406,2010,11,5,13,3,,,,6,54.88,1017,15,SW,29,,,0,0,
7406,7407,2010,11,5,14,3,,,,6,54.88,1017,15,SW,34,,,0,0,
7407,7408,2010,11,5,15,3,,,,7,62.71,1017,14,SW,38,,,0,0,
7408,7409,2010,11,5,16,3,,,,7,66.93,1016,13,SW,41,,,0,0,
7409,7410,2010,11,5,17,3,,,,5,66.49,1016,11,SW,45,,,0,0,
7410,7411,2010,11,5,18,3,,,,3,61.76,1017,10,SW,49,,,0,0,
7411,7412,2010,11,5,19,3,,,,2,61.51,1017,9,SW,53,,,0,0,
7412,7413,2010,11,5,20,3,,,,2,65.82,1017,8,SW,57,,,0,0,
7413,7414,2010,11,5,21,3,,,,3,70.67,1017,8,SW,61,,,0,0,
7414,7415,2010,11,5,22,3,,,,3,70.67,1017,8,SE,4,,,0,0,
7415,7416,2010,11,5,23,3,,,,3,70.67,1017,8,SE,8,,,0,0,
7416,7417,2010,11,6,0,3,,,,4,75.84,1017,8,SE,12,,,0,0,
7417,7418,2010,11,6,1,3,,,,4,75.84,1017,8,SE,17,,,0,0,
7418,7419,2010,11,6,2,3,,,,4,75.84,1017,8,SE,22,,,0,0,
7419,7420,2010,11,6,3,3,,,,4,81.2,1017,7,SE,27,,,0,0,
7420,7421,2010,11,6,4,3,,,,3,75.67,1016,7,SE,31,,,0,0,
7421,7422,2010,11,6,5,3,,,,4,81.2,1016,7,SE,36,,,0,0,
7422,7423,2010,11,6,6,3,,,,4,81.2,1016,7,SE,41,,,0,0,
7423,7424,2010,11,6,7,3,,,,4,75.84,1016,8,SE,45,,,0,0,
7424,7425,2010,11,6,8,3,,,,5,76.01,1017,9,SE,49,,,0,0,
7425,7426,2010,11,6,9,3,,,,6,66.71,1017,12,SE,51,,,0,0,
7426,7427,2010,11,6,10,3,,,,5,54.62,1017,14,SW,5,,,0,0,
7427,7428,2010,11,6,11,3,,,,5,48.03,1016,16,SW,11,,,0,0,
7428,7429,2010,11,6,12,3,,,,4,42.02,1015,17,SW,18,,,0,0,
7429,7430,2010,11,6,13,3,,,,5,42.32,1014,18,SW,25,,,0,0,
7430,7431,2010,11,6,14,3,,,,4,39.46,1014,18,SW,32,,,0,0,
7431,7432,2010,11,6,15,3,,,,5,45.07,1014,17,SW,38,,,0,0,
7432,7433,2010,11,6,16,3,,,,6,54.88,1014,15,SW,42,,,0,0,
7433,7434,2010,11,6,17,3,,,,6,62.48,1015,13,SW,46,,,0,0,
7434,7435,2010,11,6,18,3,,,,4,54.35,1015,13,SW,49,,,0,0,
7435,7436,2010,11,6,19,3,,,,5,66.49,1015,11,SE,3,,,0,0,
7436,7437,2010,11,6,20,3,,,,5,66.49,1015,11,SW,3,,,0,0,
7437,7438,2010,11,6,21,3,,,,5,66.49,1015,11,SE,4,,,0,0,
7438,7439,2010,11,6,22,3,,,,5,66.49,1015,11,SE,8,,,0,0,
7439,7440,2010,11,6,23,3,,,,4,66.27,1015,10,SW,4,,,0,0,
7440,7441,2010,11,7,0,3,,,,4,66.27,1014,10,SE,3,,,0,0,
7441,7442,2010,11,7,1,3,,,,4,66.27,1014,10,SE,7,,,0,0,
7442,7443,2010,11,7,2,3,,,,4,66.27,1014,10,SE,10,,,0,0,
7443,7444,2010,11,7,3,3,,,,5,71.07,1013,10,SW,3,,,0,0,
7444,7445,2010,11,7,4,3,,,,4,66.27,1013,10,SW,7,,,0,0,
7445,7446,2010,11,7,5,3,,,,5,71.07,1013,10,SW,10,,,0,0,
7446,7447,2010,11,7,6,3,,,,4,66.27,1012,10,SW,12,,,0,0,
7447,7448,2010,11,7,7,3,,,,5,71.07,1013,10,SW,15,,,0,0,
7448,7449,2010,11,7,8,3,,,,5,71.07,1013,10,SW,18,,,0,0,
7449,7450,2010,11,7,9,3,,,,6,66.71,1012,12,SW,20,,,0,0,
7450,7451,2010,11,7,10,3,,,,6,66.71,1012,12,SW,23,,,0,0,
7451,7452,2010,11,7,11,3,,,,6,76.18,1012,10,NW,3,,,0,0,
7452,7453,2010,11,7,12,3,,,,6,81.48,1012,9,NW,6,,,0,0,
7453,7454,2010,11,7,13,3,,,,6,93.35,1011,7,NW,9,,,0,0,
7454,7455,2010,11,7,14,3,,,,6,93.35,1011,7,NW,11,,,0,0,
7455,7456,2010,11,7,15,3,,,,4,93.24,1012,5,NW,15,,,0,0,
7456,7457,2010,11,7,16,3,,,,3,93.19,1012,4,NW,20,,,0,0,
7457,7458,2010,11,7,17,3,,,,2,93.13,1013,3,NW,25,,,0,0,
7458,7459,2010,11,7,18,3,,,,1,93.08,1014,2,NW,30,,,0,0,
7459,7460,2010,11,7,19,3,,,,1,93.08,1014,2,NW,35,,,0,0,
7460,7461,2010,11,7,20,3,,,,1,93.08,1014,2,NW,41,,,0,0,
7461,7462,2010,11,7,21,3,,,,1,93.08,1015,2,NW,48,,,0,0,
7462,7463,2010,11,7,22,3,,,,0,86.58,1014,2,NW,54,,,0,0,
7463,7464,2010,11,7,23,3,,,,0,86.58,1014,2,NW,61,,,0,0,
7464,7465,2010,11,8,0,3,,,,-1,86.47,1015,1,NW,67,,,0,0,
7465,7466,2010,11,8,1,3,,,,-1,86.47,1014,1,NW,73,,,0,0,
7466,7467,2010,11,8,2,3,,,,-1,86.47,1014,1,NW,79,,,0,0,
7467,7468,2010,11,8,3,3,,,,-2,80.34,1015,1,NW,85,,,0,0,
7468,7469,2010,11,8,4,3,,,,-3,74.59,1015,1,NW,90,,,0,0,
7469,7470,2010,11,8,5,3,,,,-4,69.21,1015,1,NW,96,,,0,0,
7470,7471,2010,11,8,6,3,,,,-6,59.48,1016,1,NW,102,,,0,0,
7471,7472,2010,11,8,7,3,,,,-7,55.08,1017,1,NW,109,,,0,0,
7472,7473,2010,11,8,8,3,,,,-7,55.08,1017,1,NW,115,,,0,0,
7473,7474,2010,11,8,9,3,,,,-7,55.08,1018,1,NW,121,,,0,0,
7474,7475,2010,11,8,10,3,,,,-6,59.48,1018,1,NW,127,,,0,0,
7475,7476,2010,11,8,11,3,,,,-7,55.08,1018,1,NW,134,,,0,0,
7476,7477,2010,11,8,12,3,,,,-10,37.77,1018,3,NW,143,,,0,0,
7477,7478,2010,11,8,13,3,,,,-10,37.77,1018,3,NW,151,,,0,0,
7478,7479,2010,11,8,14,3,,,,-10,37.77,1018,3,NW,157,,,0,0,
7479,7480,2010,11,8,15,3,,,,-11,34.88,1019,3,NW,164,,,0,0,
7480,7481,2010,11,8,16,3,,,,-12,32.19,1019,3,NW,170,,,0,0,
7481,7482,2010,11,8,17,3,,,,-9,43.88,1019,2,NW,175,,,0,0,
7482,7483,2010,11,8,18,3,,,,-11,37.45,1020,2,NW,179,,,0,0,
7483,7484,2010,11,8,19,3,,,,-10,40.55,1020,2,NW,184,,,0,0,
7484,7485,2010,11,8,20,3,,,,-10,43.57,1020,1,NE,4,,,0,0,
7485,7486,2010,11,8,21,3,,,,-10,43.57,1021,1,NE,8,,,0,0,
7486,7487,2010,11,8,22,3,,,,-10,46.84,1021,0,NE,11,,,0,0,
7487,7488,2010,11,8,23,3,,,,-10,46.84,1021,0,NW,2,,,0,0,
7488,7489,2010,11,9,0,3,,,,-9,50.68,1021,0,NW,4,,,0,0,
