,No,year,month,day,hour,season,HUMI,TEMP,cbwd,TEMP_new,cbwd_new_bfill,cbwd_new_ffill
11423,11424,2011,4,21,23,1,93.35,7.0,NE,7.0,NE,NE
11424,11425,2011,4,22,0,1,93.35,7.0,NE,7.0,NE,NE
11425,11426,2011,4,22,1,1,93.35,7.0,NE,7.0,NE,NE
11426,11427,2011,4,22,2,1,93.35,7.0,NE,7.0,NE,NE
11427,11428,2011,4,22,3,1,93.29,6.0,NE,6.0,NE,NE
11428,11429,2011,4,22,4,1,93.29,6.0,NE,6.0,NE,NE
11429,11430,2011,4,22,5,1,87.09,7.0,SE,7.0,SE,SE
11430,11431,2011,4,22,6,1,93.29,6.0,SE,6.0,SE,SE
11431,11432,2011,4,22,7,1,93.35,7.0,cv,7.0,cv,cv
11432,11433,2011,4,22,8,1,87.19,8.0,SW,8.0,SW,SW
11433,11434,2011,4,22,9,1,87.28,9.0,NW,9.0,NW,NW
11434,11435,2011,4,22,10,1,57.77,11.0,NW,11.0,NW,NW
11435,11436,2011,4,22,11,1,46.88,12.0,NW,12.0,NW,NW
11436,11437,2011,4,22,12,1,40.84,13.0,NW,13.0,NW,NW
11437,11438,2011,4,22,13,1,33.05,14.0,NW,14.0,NW,NW
11438,11439,2011,4,22,14,1,35.57,14.0,NE,14.0,NE,NE
11439,11440,2011,4,22,15,1,35.57,14.0,NE,14.0,NE,NE
11440,11441,2011,4,22,16,1,37.96,13.0,NE,13.0,NE,NE
11441,11442,2011,4,22,17,1,46.58,11.0,NE,11.0,NE,NE
11442,11443,2011,4,22,18,1,46.29,10.0,NE,10.0,NE,NE
11443,11444,2011,4,22,19,1,61.26,8.0,SE,8.0,SE,SE
11444,11445,2011,4,22,20,1,65.59,7.0,SE,7.0,SE,SE
11445,11446,2011,4,22,21,1,70.27,6.0,SE,6.0,SE,SE
11446,11447,2011,4,22,22,1,80.78,4.0,cv,4.0,cv,cv
11447,11448,2011,4,22,23,1,75.49,6.0,SW,6.0,SW,SW
11448,11449,2011,4,23,0,1,86.58,2.0,SW,2.0,SW,SW
11449,11450,2011,4,23,1,1,93.08,2.0,cv,2.0,cv,cv
11450,11451,2011,4,23,2,1,93.02,1.0,cv,1.0,cv,cv
11451,11452,2011,4,23,3,1,93.02,1.0,cv,1.0,cv,cv
11452,11453,2011,4,23,4,1,92.96,0.0,SW,0.0,SW,SW
11453,11454,2011,4,23,5,1,86.68,3.0,NW,3.0,NW,NW
11454,11455,2011,4,23,6,1,80.78,4.0,NW,4.0,NW,NW
11455,11456,2011,4,23,7,1,75.49,6.0,NW,6.0,NW,NW
11456,11457,2011,4,23,8,1,65.82,8.0,NW,8.0,NW,NW
11457,11458,2011,4,23,9,1,57.25,9.0,NW,9.0,NW,NW
11458,11459,2011,4,23,10,1,53.53,10.0,NW,10.0,NW,NW
11459,11460,2011,4,23,11,1,49.8,10.0,NW,10.0,NW,NW
11460,11461,2011,4,23,12,1,46.29,10.0,NE,10.0,NE,NE
11461,11462,2011,4,23,13,1,40.23,11.0,NW,11.0,NW,NW
11462,11463,2011,4,23,14,1,32.75,13.0,NE,13.0,NE,NE
11463,11464,2011,4,23,15,1,32.75,13.0,NW,13.0,NW,NW
11464,11465,2011,4,23,16,1,32.75,13.0,NE,13.0,NE,NE
11465,11466,2011,4,23,17,1,28.18,13.0,NW,13.0,NW,NW
11466,11467,2011,4,23,18,1,27.88,12.0,NW,12.0,NW,NW
11467,11468,2011,4,23,19,1,34.36,10.0,NW,10.0,NW,NW
11468,11469,2011,4,23,20,1,39.63,9.0,NW,9.0,NW,NW
11469,11470,2011,4,23,21,1,45.7,8.0,NE,8.0,NE,NE
11470,11471,2011,4,23,22,1,48.93,7.0,SW,7.0,SW,SW
11471,11472,2011,4,23,23,1,60.51,5.0,SW,5.0,SW,SW
11472,11473,2011,4,24,0,1,69.85,4.0,SW,4.0,SW,SW
11473,11474,2011,4,24,1,1,64.9,4.0,NW,4.0,NW,NW
11474,11475,2011,4,24,2,1,69.64,3.0,SE,3.0,SE,SE
11475,11476,2011,4,24,3,1,75.14,4.0,SW,4.0,SW,SW
11476,11477,2011,4,24,4,1,80.78,4.0,SE,4.0,SE,SE
11477,11478,2011,4,24,5,1,80.78,4.0,SW,4.0,SW,SW
11478,11479,2011,4,24,6,1,86.79,4.0,cv,4.0,cv,cv
11479,11480,2011,4,24,7,1,86.89,5.0,SW,5.0,SW,SW
11480,11481,2011,4,24,8,1,86.99,6.0,SW,6.0,SW,SW
11481,11482,2011,4,24,9,1,87.09,7.0,SW,7.0,SW,SW
11482,11483,2011,4,24,10,1,70.88,9.0,SW,9.0,SW,SW
11483,11484,2011,4,24,11,1,57.77,11.0,SW,11.0,SW,SW
11484,11485,2011,4,24,12,1,53.81,11.0,SW,11.0,SW,SW
11485,11486,2011,4,24,13,1,50.08,11.0,NW,11.0,NW,NW
11486,11487,2011,4,24,14,1,30.68,14.0,cv,14.0,cv,cv
11487,11488,2011,4,24,15,1,26.4,14.0,NW,14.0,NW,NW
11488,11489,2011,4,24,16,1,22.94,15.0,SW,15.0,SW,SW
11489,11490,2011,4,24,17,1,28.47,14.0,SW,14.0,SW,SW
11490,11491,2011,4,24,18,1,37.66,12.0,SW,12.0,SW,SW
11491,11492,2011,4,24,19,1,49.8,10.0,SW,10.0,SW,SW
11492,11493,2011,4,24,20,1,53.53,10.0,SW,10.0,SW,SW
11493,11494,2011,4,24,21,1,61.26,8.0,SW,8.0,SW,SW
11494,11495,2011,4,24,22,1,65.59,7.0,SW,7.0,SW,SW
11495,11496,2011,4,24,23,1,70.27,6.0,SW,6.0,SW,SW
11496,11497,2011,4,25,0,1,75.32,5.0,SW,5.0,SW,SW
11497,11498,2011,4,25,1,1,80.78,4.0,SW,4.0,SW,SW
11498,11499,2011,4,25,2,1,75.32,5.0,SW,5.0,SW,SW
11499,11500,2011,4,25,3,1,75.32,5.0,SW,5.0,SW,SW
11500,11501,2011,4,25,4,1,75.32,5.0,SW,5.0,SW,SW
11501,11502,2011,4,25,5,1,75.14,4.0,SW,4.0,SW,SW
11502,11503,2011,4,25,6,1,75.32,5.0,SW,5.0,SW,SW
11503,11504,2011,4,25,7,1,65.82,8.0,SW,8.0,SW,SW
11504,11505,2011,4,25,8,1,50.08,11.0,SW,11.0,SW,SW
11505,11506,2011,4,25,9,1,40.54,12.0,SW,12.0,SW,SW
11506,11507,2011,4,25,10,1,33.05,14.0,SW,14.0,SW,SW
11507,11508,2011,4,25,11,1,33.35,15.0,SW,15.0,SW,SW
11508,11509,2011,4,25,12,1,25.04,16.0,SW,16.0,SW,SW
11509,11510,2011,4,25,13,1,25.61,18.0,SW,18.0,SW,SW
11510,11511,2011,4,25,14,1,15.26,19.0,SW,19.0,SW,SW
11511,11512,2011,4,25,15,1,15.26,19.0,SW,19.0,SW,SW
11512,11513,2011,4,25,16,1,15.02,18.0,SW,18.0,SW,SW
11513,11514,2011,4,25,17,1,21.79,17.0,SW,17.0,SW,SW
11514,11515,2011,4,25,18,1,30.98,15.0,SW,15.0,SW,SW
11515,11516,2011,4,25,19,1,43.9,13.0,SW,13.0,SW,SW
11516,11517,2011,4,25,20,1,53.81,11.0,SW,11.0,SW,SW
11517,11518,2011,4,25,21,1,61.76,10.0,SW,10.0,SW,SW
11518,11519,2011,4,25,22,1,66.05,9.0,SW,9.0,SW,SW
11519,11520,2011,4,25,23,1,61.51,9.0,SW,9.0,SW,SW
11520,11521,2011,4,26,0,1,75.67,7.0,SE,7.0,SE,SE
11521,11522,2011,4,26,1,1,65.82,8.0,SE,8.0,SE,SE
11522,11523,2011,4,26,2,1,70.47,7.0,SE,7.0,SE,SE
11523,11524,2011,4,26,3,1,65.59,7.0,SE,7.0,SE,SE
11524,11525,2011,4,26,4,1,70.27,6.0,SE,6.0,SE,SE
11525,11526,2011,4,26,5,1,70.27,6.0,SE,6.0,SE,SE
11526,11527,2011,4,26,6,1,65.82,8.0,SE,8.0,SE,SE
11527,11528,2011,4,26,7,1,61.76,10.0,SW,10.0,SW,SW
11528,11529,2011,4,26,8,1,50.65,13.0,SW,13.0,SW,SW
11529,11530,2011,4,26,9,1,47.46,14.0,SW,14.0,SW,SW
11530,11531,2011,4,26,10,1,44.78,16.0,SW,16.0,SW,SW
11531,11532,2011,4,26,11,1,39.16,17.0,SW,17.0,SW,SW
11532,11533,2011,4,26,12,1,34.24,18.0,SW,18.0,SW,SW
11533,11534,2011,4,26,13,1,29.94,19.0,SW,19.0,SW,SW
11534,11535,2011,4,26,14,1,25.61,18.0,NW,18.0,NW,NW
11535,11536,2011,4,26,15,1,16.49,19.0,NW,19.0,NW,NW
11536,11537,2011,4,26,16,1,14.11,19.0,NW,19.0,NW,NW
11537,11538,2011,4,26,17,1,22.06,18.0,NW,18.0,NW,NW
11538,11539,2011,4,26,18,1,26.98,16.0,NW,16.0,NW,NW
11539,11540,2011,4,26,19,1,28.47,14.0,NW,14.0,NW,NW
11540,11541,2011,4,26,20,1,32.75,13.0,NE,13.0,NE,NE
11541,11542,2011,4,26,21,1,32.45,12.0,NE,12.0,NE,NE
11542,11543,2011,4,26,22,1,37.05,10.0,NE,10.0,NE,NE
11543,11544,2011,4,26,23,1,39.63,9.0,NE,9.0,NE,NE
11544,11545,2011,4,27,0,1,42.4,8.0,NW,8.0,NW,NW
11545,11546,2011,4,27,1,1,42.4,8.0,NE,8.0,NE,NE
11546,11547,2011,4,27,2,1,45.4,7.0,NW,7.0,NW,NW
11547,11548,2011,4,27,3,1,45.4,7.0,NW,7.0,NW,NW
11548,11549,2011,4,27,4,1,45.1,6.0,NW,6.0,NW,NW
11549,11550,2011,4,27,5,1,52.13,5.0,NE,5.0,NE,NE
11550,11551,2011,4,27,6,1,52.13,5.0,NW,5.0,NW,NW
11551,11552,2011,4,27,7,1,45.4,7.0,NW,7.0,NW,NW
11552,11553,2011,4,27,8,1,39.63,9.0,NW,9.0,NW,NW
11553,11554,2011,4,27,9,1,37.36,11.0,NW,11.0,NW,NW
11554,11555,2011,4,27,10,1,34.97,12.0,NW,12.0,NW,NW
11555,11556,2011,4,27,11,1,34.97,12.0,NW,12.0,NW,NW
11556,11557,2011,4,27,12,1,28.47,14.0,NW,14.0,NW,NW
11557,11558,2011,4,27,13,1,28.18,13.0,NW,13.0,NW,NW
11558,11559,2011,4,27,14,1,26.11,13.0,NE,13.0,NE,NE
11559,11560,2011,4,27,15,1,28.47,14.0,NW,14.0,NW,NW
11560,11561,2011,4,27,16,1,26.11,13.0,NE,13.0,NE,NE
11561,11562,2011,4,27,17,1,28.18,13.0,NW,13.0,NW,NW
11562,11563,2011,4,27,18,1,30.09,12.0,NW,12.0,NW,NW
11563,11564,2011,4,27,19,1,32.14,11.0,NW,11.0,NW,NW
11564,11565,2011,4,27,20,1,37.05,10.0,NW,10.0,NW,NW
11565,11566,2011,4,27,21,1,45.7,8.0,NW,8.0,NW,NW
11566,11567,2011,4,27,22,1,48.93,7.0,NW,7.0,NW,NW
11567,11568,2011,4,27,23,1,52.41,6.0,NW,6.0,NW,NW
11568,11569,2011,4,28,0,1,52.41,6.0,NW,6.0,NW,NW
11569,11570,2011,4,28,1,1,56.18,5.0,NW,5.0,NW,NW
11570,11571,2011,4,28,2,1,69.64,3.0,SE,3.0,SE,SE
11571,11572,2011,4,28,3,1,80.34,1.0,SW,1.0,SW,SW
11572,11573,2011,4,28,4,1,80.34,1.0,SE,1.0,SE,SE
11573,11574,2011,4,28,5,1,86.37,0.0,SE,0.0,SE,SE
11574,11575,2011,4,28,6,1,80.49,2.0,SE,2.0,SE,SE
11575,11576,2011,4,28,7,1,65.13,5.0,SW,5.0,SW,SW
11576,11577,2011,4,28,8,1,49.51,9.0,SW,9.0,SW,SW
11577,11578,2011,4,28,9,1,40.23,11.0,SW,11.0,SW,SW
11578,11579,2011,4,28,10,1,30.68,14.0,cv,14.0,cv,cv
11579,11580,2011,4,28,11,1,28.47,14.0,NW,14.0,NW,NW
11580,11581,2011,4,28,12,1,24.75,15.0,SW,15.0,SW,SW
11581,11582,2011,4,28,13,1,23.22,16.0,SW,16.0,SW,SW
11582,11583,2011,4,28,14,1,21.51,16.0,SW,16.0,SW,SW
11583,11584,2011,4,28,15,1,19.92,16.0,SW,16.0,SW,SW
11584,11585,2011,4,28,16,1,19.92,16.0,NW,16.0,NW,NW
11585,11586,2011,4,28,17,1,21.51,16.0,NW,16.0,NW,NW
11586,11587,2011,4,28,18,1,24.75,15.0,SW,15.0,SW,SW
11587,11588,2011,4,28,19,1,30.39,13.0,SE,13.0,SE,SE
11588,11589,2011,4,28,20,1,43.01,10.0,SW,10.0,SW,SW
11589,11590,2011,4,28,21,1,46.29,10.0,SW,10.0,SW,SW
11590,11591,2011,4,28,22,1,43.31,11.0,SE,11.0,SE,SE
11591,11592,2011,4,28,23,1,49.8,10.0,SE,10.0,SE,SE
11592,11593,2011,4,29,0,1,49.51,9.0,SE,9.0,SE,SE
11593,11594,2011,4,29,1,1,49.51,9.0,SE,9.0,SE,SE
11594,11595,2011,4,29,2,1,49.51,9.0,SE,9.0,SE,SE
11595,11596,2011,4,29,3,1,49.51,9.0,SE,9.0,SE,SE
11596,11597,2011,4,29,4,1,52.98,8.0,SE,8.0,SE,SE
11597,11598,2011,4,29,5,1,52.98,8.0,SE,8.0,SE,SE
11598,11599,2011,4,29,6,1,46.29,10.0,SE,10.0,SE,SE
11599,11600,2011,4,29,7,1,40.84,13.0,SE,13.0,SE,SE
11600,11601,2011,4,29,8,1,33.35,15.0,SW,15.0,SW,SW
11601,11602,2011,4,29,9,1,33.35,15.0,SW,15.0,SW,SW
11602,11603,2011,4,29,10,1,35.87,15.0,SE,15.0,SE,SE
11603,11604,2011,4,29,11,1,41.14,14.0,SW,14.0,SW,SW
11604,11605,2011,4,29,12,1,66.49,11.0,SW,11.0,SW,SW
11605,11606,2011,4,29,13,1,76.18,10.0,SW,10.0,SW,SW
11606,11607,2011,4,29,14,1,87.28,9.0,SE,9.0,SE,SE
11607,11608,2011,4,29,15,1,87.38,10.0,SW,10.0,SW,SW
11608,11609,2011,4,29,16,1,87.38,10.0,SE,10.0,SE,SE
11609,11610,2011,4,29,17,1,87.28,9.0,SE,9.0,SE,SE
11610,11611,2011,4,29,18,1,87.28,9.0,SE,9.0,SE,SE
11611,11612,2011,4,29,19,1,87.28,9.0,SE,9.0,SE,SE
11612,11613,2011,4,29,20,1,87.28,9.0,SE,9.0,SE,SE
11613,11614,2011,4,29,21,1,76.18,10.0,SE,10.0,SE,SE
11614,11615,2011,4,29,22,1,81.61,10.0,SE,10.0,SE,SE
11615,11616,2011,4,29,23,1,81.61,10.0,SW,10.0,SW,SW
11616,11617,2011,4,30,0,1,87.28,9.0,SW,9.0,SW,SW
11617,11618,2011,4,30,1,1,87.28,9.0,SW,9.0,SW,SW
11618,11619,2011,4,30,2,1,87.28,9.0,SW,9.0,SW,SW
11619,11620,2011,4,30,3,1,93.4,8.0,SW,8.0,SW,SW
11620,11621,2011,4,30,4,1,93.4,8.0,SE,8.0,SE,SE
11621,11622,2011,4,30,5,1,87.28,9.0,SE,9.0,SE,SE
11622,11623,2011,4,30,6,1,87.28,9.0,SE,9.0,SE,SE
11623,11624,2011,4,30,7,1,87.38,10.0,SW,10.0,SW,SW
11624,11625,2011,4,30,8,1,81.75,11.0,SW,11.0,SW,SW
11625,11626,2011,4,30,9,1,81.75,11.0,SW,11.0,SW,SW
11626,11627,2011,4,30,10,1,81.88,12.0,SW,12.0,SW,SW
11627,11628,2011,4,30,11,1,76.68,13.0,SW,13.0,SW,SW
11628,11629,2011,4,30,12,1,82.01,13.0,SW,13.0,SW,SW
11629,11630,2011,4,30,13,1,76.84,14.0,SW,14.0,SW,SW
11630,11631,2011,4,30,14,1,76.84,14.0,SW,14.0,SW,SW
11631,11632,2011,4,30,15,1,72.04,15.0,NW,15.0,NW,NW
11632,11633,2011,4,30,16,1,72.04,15.0,NW,15.0,NW,NW
11633,11634,2011,4,30,17,1,76.84,14.0,NE,14.0,NE,NE
11634,11635,2011,4,30,18,1,87.66,13.0,SW,13.0,SW,SW
11635,11636,2011,4,30,19,1,76.52,12.0,SW,12.0,SW,SW
11636,11637,2011,4,30,20,1,58.03,12.0,SE,12.0,SE,SE
11637,11638,2011,4,30,21,1,76.18,10.0,SE,10.0,SE,SE
11638,11639,2011,4,30,22,1,57.77,11.0,SE,11.0,SE,SE
11639,11640,2011,4,30,23,1,62.0,11.0,SE,11.0,SE,SE
11640,11641,2011,5,1,0,1,62.0,11.0,NW,11.0,NW,NW
11641,11642,2011,5,1,1,1,81.75,11.0,NW,11.0,NW,NW
11642,11643,2011,5,1,2,1,71.07,10.0,NW,10.0,NW,NW
11643,11644,2011,5,1,3,1,81.34,8.0,cv,8.0,cv,cv
11644,11645,2011,5,1,4,1,87.28,9.0,cv,9.0,cv,cv
11645,11646,2011,5,1,5,1,81.48,9.0,SW,9.0,SW,SW
11646,11647,2011,5,1,6,1,87.28,9.0,SW,9.0,SW,SW
11647,11648,2011,5,1,7,1,87.28,9.0,SW,9.0,SW,SW
11648,11649,2011,5,1,8,1,81.75,11.0,SW,11.0,SW,SW
11649,11650,2011,5,1,9,1,81.88,12.0,NW,12.0,NW,NW
11650,11651,2011,5,1,10,1,71.66,13.0,NW,13.0,NW,NW
11651,11652,2011,5,1,11,1,71.66,13.0,NW,13.0,NW,NW
11652,11653,2011,5,1,12,1,59.04,16.0,NW,16.0,NW,NW
11653,11654,2011,5,1,13,1,51.48,16.0,NW,16.0,NW,NW
11654,11655,2011,5,1,14,1,45.07,17.0,NW,17.0,NW,NW
11655,11656,2011,5,1,15,1,39.75,19.0,NW,19.0,NW,NW
11656,11657,2011,5,1,16,1,37.06,19.0,NW,19.0,NW,NW
11657,11658,2011,5,1,17,1,36.77,18.0,NE,18.0,NE,NE
11658,11659,2011,5,1,18,1,39.16,17.0,NE,17.0,NE,NE
11659,11660,2011,5,1,19,1,54.62,14.0,SE,14.0,SE,SE
11660,11661,2011,5,1,20,1,66.71,12.0,SE,12.0,SE,SE
11661,11662,2011,5,1,21,1,71.27,11.0,SW,11.0,SW,SW
11662,11663,2011,5,1,22,1,71.27,11.0,SW,11.0,SW,SW
11663,11664,2011,5,1,23,1,76.35,11.0,SW,11.0,SW,SW
11664,11665,2011,5,2,0,1,76.35,11.0,SW,11.0,SW,SW
11665,11666,2011,5,2,1,1,71.27,11.0,SW,11.0,SW,SW
11666,11667,2011,5,2,2,1,58.03,12.0,SW,12.0,SW,SW
11667,11668,2011,5,2,3,1,66.27,10.0,SW,10.0,SW,SW
11668,11669,2011,5,2,4,1,62.0,11.0,SW,11.0,SW,SW
11669,11670,2011,5,2,5,1,81.2,7.0,NW,7.0,NW,NW
11670,11671,2011,5,2,6,1,71.07,10.0,SW,10.0,SW,SW
11671,11672,2011,5,2,7,1,62.24,12.0,SW,12.0,SW,SW
11672,11673,2011,5,2,8,1,54.62,14.0,SW,14.0,SW,SW
11673,11674,2011,5,2,9,1,48.31,17.0,SW,17.0,SW,SW
11674,11675,2011,5,2,10,1,39.75,19.0,SW,19.0,SW,SW
11675,11676,2011,5,2,11,1,32.46,20.0,SW,20.0,SW,SW
11676,11677,2011,5,2,12,1,24.89,22.0,SW,22.0,SW,SW
11677,11678,2011,5,2,13,1,17.47,23.0,SW,23.0,SW,SW
11678,11679,2011,5,2,14,1,13.71,22.0,SW,22.0,SW,SW
11679,11680,2011,5,2,15,1,38.86,16.0,NW,16.0,NW,NW
11680,11681,2011,5,2,16,1,27.85,19.0,NW,19.0,NW,NW
11681,11682,2011,5,2,17,1,31.58,17.0,NW,17.0,NW,NW
11682,11683,2011,5,2,18,1,26.98,16.0,NW,16.0,NW,NW
11683,11684,2011,5,2,19,1,37.96,13.0,NW,13.0,NW,NW
11684,11685,2011,5,2,20,1,46.58,11.0,SW,11.0,SW,SW
11685,11686,2011,5,2,21,1,57.25,9.0,SE,9.0,SE,SE
11686,11687,2011,5,2,22,1,57.25,9.0,SW,9.0,SW,SW
11687,11688,2011,5,2,23,1,61.26,8.0,SW,8.0,SW,SW
11688,11689,2011,5,3,0,1,65.59,7.0,SW,7.0,SW,SW
11689,11690,2011,5,3,1,1,70.27,6.0,SW,6.0,SW,SW
11690,11691,2011,5,3,2,1,61.01,7.0,SW,7.0,SW,SW
11691,11692,2011,5,3,3,1,70.06,5.0,SW,5.0,SW,SW
11692,11693,2011,5,3,4,1,70.06,5.0,SW,5.0,SW,SW
11693,11694,2011,5,3,5,1,75.14,4.0,SW,4.0,SW,SW
11694,11695,2011,5,3,6,1,65.59,7.0,SW,7.0,SW,SW
11695,11696,2011,5,3,7,1,50.08,11.0,NW,11.0,NW,NW
11696,11697,2011,5,3,8,1,40.84,13.0,NW,13.0,NW,NW
11697,11698,2011,5,3,9,1,38.56,15.0,SW,15.0,SW,SW
11698,11699,2011,5,3,10,1,33.95,17.0,NW,17.0,NW,NW
11699,11700,2011,5,3,11,1,31.87,18.0,SW,18.0,SW,SW
11700,11701,2011,5,3,12,1,29.94,19.0,SW,19.0,SW,SW
11701,11702,2011,5,3,13,1,24.05,19.0,SW,19.0,SW,SW
11702,11703,2011,5,3,14,1,16.98,21.0,NW,21.0,NW,NW
11703,11704,2011,5,3,15,1,14.8,22.0,NW,22.0,NW,NW
11704,11705,2011,5,3,16,1,15.74,21.0,NW,21.0,NW,NW
11705,11706,2011,5,3,17,1,15.74,21.0,NW,21.0,NW,NW
11706,11707,2011,5,3,18,1,15.5,20.0,NW,20.0,NW,NW
11707,11708,2011,5,3,19,1,21.79,17.0,NW,17.0,NW,NW
11708,11709,2011,5,3,20,1,25.04,16.0,NE,16.0,NE,NE
11709,11710,2011,5,3,21,1,37.96,13.0,NE,13.0,NE,NE
11710,11711,2011,5,3,22,1,50.08,11.0,SW,11.0,SW,SW
11711,11712,2011,5,3,23,1,57.77,11.0,SW,11.0,SW,SW
11712,11713,2011,5,4,0,1,61.51,9.0,SW,9.0,SW,SW
11713,11714,2011,5,4,1,1,65.82,8.0,SW,8.0,SW,SW
11714,11715,2011,5,4,2,1,70.47,7.0,SW,7.0,SW,SW
11715,11716,2011,5,4,3,1,75.49,6.0,SE,6.0,SE,SE
11716,11717,2011,5,4,4,1,80.92,5.0,cv,5.0,cv,cv
11717,11718,2011,5,4,5,1,75.49,6.0,SE,6.0,SE,SE
11718,11719,2011,5,4,6,1,70.67,8.0,SE,8.0,SE,SE
11719,11720,2011,5,4,7,1,54.08,12.0,SE,12.0,SE,SE
11720,11721,2011,5,4,8,1,38.56,15.0,SE,15.0,SE,SE
11721,11722,2011,5,4,9,1,31.58,17.0,SE,17.0,SE,SE
11722,11723,2011,5,4,10,1,29.65,18.0,cv,18.0,cv,cv
11723,11724,2011,5,4,11,1,26.17,20.0,NE,20.0,NE,NE
11724,11725,2011,5,4,12,1,22.88,21.0,NE,21.0,NE,NE
11725,11726,2011,5,4,13,1,21.26,21.0,NE,21.0,NE,NE
11726,11727,2011,5,4,14,1,21.52,22.0,SW,22.0,SW,SW
11727,11728,2011,5,4,15,1,11.94,23.0,SW,23.0,SW,SW
11728,11729,2011,5,4,16,1,14.8,22.0,SW,22.0,SW,SW
11729,11730,2011,5,4,17,1,21.52,22.0,SW,22.0,SW,SW
11730,11731,2011,5,4,18,1,24.33,20.0,SW,20.0,SW,SW
11731,11732,2011,5,4,19,1,31.58,17.0,SW,17.0,SW,SW
11732,11733,2011,5,4,20,1,36.17,16.0,SW,16.0,SW,SW
11733,11734,2011,5,4,21,1,41.43,15.0,SW,15.0,SW,SW
11734,11735,2011,5,4,22,1,41.43,15.0,SE,15.0,SE,SE
11735,11736,2011,5,4,23,1,47.46,14.0,SE,14.0,SE,SE
11736,11737,2011,5,5,0,1,47.46,14.0,SE,14.0,SE,SE
11737,11738,2011,5,5,1,1,41.14,14.0,SE,14.0,SE,SE
11738,11739,2011,5,5,2,1,35.57,14.0,SE,14.0,SE,SE
11739,11740,2011,5,5,3,1,38.26,14.0,SW,14.0,SW,SW
11740,11741,2011,5,5,4,1,30.98,15.0,SW,15.0,SW,SW
11741,11742,2011,5,5,5,1,47.17,13.0,SW,13.0,SW,SW
11742,11743,2011,5,5,6,1,58.03,12.0,SE,12.0,SE,SE
11743,11744,2011,5,5,7,1,54.08,12.0,SE,12.0,SE,SE
11744,11745,2011,5,5,8,1,57.77,11.0,SE,11.0,SE,SE
11745,11746,2011,5,5,9,1,41.14,14.0,SE,14.0,SE,SE
11746,11747,2011,5,5,10,1,31.28,16.0,SE,16.0,SE,SE
11747,11748,2011,5,5,11,1,23.77,18.0,SW,18.0,SW,SW
11748,11749,2011,5,5,12,1,23.77,18.0,SW,18.0,SW,SW
11749,11750,2011,5,5,13,1,23.77,18.0,SW,18.0,SW,SW
11750,11751,2011,5,5,14,1,23.77,18.0,SW,18.0,SW,SW
11751,11752,2011,5,5,15,1,23.77,18.0,SE,18.0,SE,SE
11752,11753,2011,5,5,16,1,23.77,18.0,SW,18.0,SW,SW
11753,11754,2011,5,5,17,1,27.27,17.0,SW,17.0,SW,SW
11754,11755,2011,5,5,18,1,31.28,16.0,SW,16.0,SW,SW
11755,11756,2011,5,5,19,1,38.56,15.0,SE,15.0,SE,SE
11756,11757,2011,5,5,20,1,50.65,13.0,SE,13.0,SE,SE
11757,11758,2011,5,5,21,1,58.03,12.0,NW,12.0,NW,NW
11758,11759,2011,5,5,22,1,81.61,10.0,SW,10.0,SW,SW
11759,11760,2011,5,5,23,1,81.61,10.0,SE,10.0,SE,SE
11760,11761,2011,5,6,0,1,76.18,10.0,SE,10.0,SE,SE
11761,11762,2011,5,6,1,1,71.07,10.0,SE,10.0,SE,SE
11762,11763,2011,5,6,2,1,71.27,11.0,SE,11.0,SE,SE
11763,11764,2011,5,6,3,1,71.27,11.0,SE,11.0,SE,SE
11764,11765,2011,5,6,4,1,54.08,12.0,SE,12.0,SE,SE
11765,11766,2011,5,6,5,1,58.03,12.0,SW,12.0,SW,SW
11766,11767,2011,5,6,6,1,66.71,12.0,SE,12.0,SE,SE
11767,11768,2011,5,6,7,1,71.47,12.0,SE,12.0,SE,SE
11768,11769,2011,5,6,8,1,58.54,14.0,SW,14.0,SW,SW
11769,11770,2011,5,6,9,1,58.54,14.0,SW,14.0,SW,SW
11770,11771,2011,5,6,10,1,58.79,15.0,SW,15.0,SW,SW
11771,11772,2011,5,6,11,1,55.15,16.0,SW,16.0,SW,SW
11772,11773,2011,5,6,12,1,55.41,17.0,SW,17.0,SW,SW
11773,11774,2011,5,6,13,1,62.95,15.0,SW,15.0,SW,SW
11774,11775,2011,5,6,14,1,63.18,16.0,SW,16.0,SW,SW
11775,11776,2011,5,6,15,1,63.18,16.0,SW,16.0,SW,SW
11776,11777,2011,5,6,16,1,59.29,17.0,SW,17.0,SW,SW
11777,11778,2011,5,6,17,1,67.36,15.0,SE,15.0,SE,SE
11778,11779,2011,5,6,18,1,71.85,14.0,SW,14.0,SW,SW
11779,11780,2011,5,6,19,1,76.68,13.0,SE,13.0,SE,SE
11780,11781,2011,5,6,20,1,81.88,12.0,SW,12.0,SW,SW
11781,11782,2011,5,6,21,1,81.88,12.0,SW,12.0,SW,SW
11782,11783,2011,5,6,22,1,87.47,11.0,SW,11.0,SW,SW
11783,11784,2011,5,6,23,1,87.47,11.0,SW,11.0,SW,SW
11784,11785,2011,5,7,0,1,87.47,11.0,SW,11.0,SW,SW
11785,11786,2011,5,7,1,1,87.47,11.0,SW,11.0,SW,SW
11786,11787,2011,5,7,2,1,87.47,11.0,SW,11.0,SW,SW
11787,11788,2011,5,7,3,1,87.47,11.0,SW,11.0,SW,SW
11788,11789,2011,5,7,4,1,93.55,11.0,SW,11.0,SW,SW
